K	Similarity
1	0.8274514110362541
2	0.830932716461672
3	0.831425867440989
4	0.8328963529339418
5	0.831069525895801
6	0.8381180253406304
7	0.8434603564438254
8	0.8475091907973233
9	0.8467698740738924
10	0.8475359515835365
11	0.8495514471111942
12	0.8527440987230711
13	0.8545081610757596
14	0.8552055335107948
15	0.8551360050262967
16	0.8576199624581144
17	0.859061024482756
18	0.8587204809534921
19	0.8578096209073606
20	0.8574367138260288
21	0.857154858168914
22	0.8561150933462198
23	0.8569099824740879
24	0.8579658117427753
25	0.8568560993085969
26	0.8572442752072389
27	0.8578657650386237
28	0.8569480425512807
29	0.8550531664236914
30	0.8540418143753584
31	0.8548661784082058
32	0.8564921463876818
33	0.8582691104906903
34	0.858259110366834
35	0.8592840005380021
36	0.8591985102611949
37	0.8588898469616265
38	0.8598379135361429
39	0.859590014113038
40	0.8603751082821499
41	0.8606710846764493
42	0.8610773623796932
43	0.8610679255154935
44	0.8602117256754763
45	0.8599591438529437
46	0.8595025260078432
47	0.859174707717637
48	0.8593964170791005
49	0.8593415989842155
50	0.8585888263512862
51	0.8583994251925153
52	0.8585456414068415
53	0.8579743592674367
54	0.8577293499903696
55	0.8575090241989697
56	0.8575809111902656
57	0.8576487443995872
58	0.8584628313600372
59	0.8581137044495031
60	0.8580521974075591
61	0.8584172944178745
62	0.8585694554780551
63	0.8579484347796056
64	0.8582703154502618
65	0.8584941331027865
66	0.8588156294259068
67	0.8588960411100393
68	0.8591232655985472
69	0.8594020797240118
70	0.8599499578914123
71	0.860420606593812
72	0.8599388644642278
73	0.8599822159240526
74	0.8597467524590517
75	0.8596442631048677
76	0.8595026426845322
77	0.8591021940165984
78	0.8588998527554234
79	0.8590179629895486
80	0.8592818765559198
81	0.8593771409796962
82	0.8597135572851862
83	0.8597048889083956
84	0.8592277441864503
85	0.8588768471325922
86	0.8586046265218118
87	0.8583790534169236
88	0.8586316325907236
89	0.8590004910933529
90	0.8585320668131267
91	0.8584077632859656
92	0.8582351433064828
93	0.8580809006626217
94	0.8583146936837638
95	0.8584234894118518
96	0.8583960032171891
97	0.8588330288534765
98	0.8589805348914642
99	0.8592757184876803

MAX:
42	0.8610773623796932
